Fecha,Hora,URL,Producto,Precio
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/volio-cafe-especial-del-fundador-2-2-lb-1-kg-362741/362741,Volio Café Especial del Fundador 2.2 lb / 1 kg,"₡7 295,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/dos-pinos-leche-con-proteina-delactosada-12-unidades-946-ml-31-98-oz-464160/464160,Dos Pinos Leche con Proteína Delactosada 12 Unidades / 946 mL / 31.98 oz,"₡15 995,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/dos-pinos-yogurt-griego-6-unidades-200-g-7-05-oz-441146/441146,Dos Pinos Yogurt Griego 6 Unidades / 200 g / 7.05 oz,"₡6 195,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/tio-pelon-arroz-enriquecido-con-vitaminas-y-acido-folico-2-unidades-4-kg-457365/457365,Tío Pelón Arroz Enriquecido con Vitaminas y Ácido Fólico 2 Unidades / 4 kg,"₡6 895,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/lizano-salsa-de-vegetales-y-condimentos-naturales-3-7-lt-125-oz-253881/253881,Lizano Salsa de Vegetales y Condimentos Naturales 3.7 lt / 125 oz,"₡9 295,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/heinz-salsa-de-tomate-sabores-surtidos-12-unidades-90-g-3-17-oz-490321/490321,Heinz Salsa de Tomate Sabores Surtidos 12 Unidades / 90 g / 3.17 oz,"₡3 895,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/quaker-avena-instantanea-2-unidades-1-13-kg-40-oz-43532/43532,Quaker Avena Instantánea 2 Unidades / 1.13 kg / 40 oz,"₡5 295,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/kelloggs-cereal-de-hojuelas-de-maiz-con-granos-de-origen-natural-1-22-kg-43-oz-465681/465681,Kellogg's Cereal de Hojuelas de Maíz con Granos de Origen Natural 1.22 kg / 43 oz,"₡5 595,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/sardimar-atun-trozos-en-aceite-vegetal-6-unidades-140-g-4-9-oz-319098/319098,Sardimar Atún Trozos en Aceite Vegetal 6 Unidades / 140 g / 4.9 oz,"₡6 995,00"
2025-07-28,23:41,https://www.pricesmart.com/es-cr/producto/capullo-aceite-de-soya-con-dha-4-5-l-487890/487890,Capullo Aceite de Soya con DHA 4.5 L,"₡4 395,00"
